NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIAAUD,NASDAQ Asia AUD Index (NQASIAAUD)
NASDAQOMX/NQASIAAUDN,NASDAQ Asia AUD NTR Index (NQASIAAUDN)
NASDAQOMX/NQASIAAUDT,NASDAQ Asia AUD TR Index (NQASIAAUDT)
NASDAQOMX/NQASIA1000AUD,NASDAQ Asia Basic Matls AUD Index (NQASIA1000AUD)
NASDAQOMX/NQASIA1000AUDN,NASDAQ Asia Basic Matls AUD NTR Index (NQASIA1000AUDN)
NASDAQOMX/NQASIA1000AUDT,NASDAQ Asia Basic Matls AUD TR Index (NQASIA1000AUDT)
NASDAQOMX/NQASIA1000CAD,NASDAQ Asia Basic Matls CAD Index (NQASIA1000CAD)
NASDAQOMX/NQASIA1000CADN,NASDAQ Asia Basic Matls CAD NTR Index (NQASIA1000CADN)
NASDAQOMX/NQASIA1000CADT,NASDAQ Asia Basic Matls CAD TR Index (NQASIA1000CADT)
NASDAQOMX/NQASIA1000EUR,NASDAQ Asia Basic Matls EUR Index (NQASIA1000EUR)
NASDAQOMX/NQASIA1000EURN,NASDAQ Asia Basic Matls EUR NTR Index (NQASIA1000EURN)
NASDAQOMX/NQASIA1000EURT,NASDAQ Asia Basic Matls EUR TR Index (NQASIA1000EURT)
NASDAQOMX/NQASIA1000GBP,NASDAQ Asia Basic Matls GBP Index (NQASIA1000GBP)
NASDAQOMX/NQASIA1000GBPN,NASDAQ Asia Basic Matls GBP NTR Index (NQASIA1000GBPN)
NASDAQOMX/NQASIA1000GBPT,NASDAQ Asia Basic Matls GBP TR Index (NQASIA1000GBPT)
NASDAQOMX/NQASIA1000,NASDAQ Asia Basic Matls Index (NQASIA1000)
NASDAQOMX/NQASIA1000JPY,NASDAQ Asia Basic Matls JPY Index (NQASIA1000JPY)
NASDAQOMX/NQASIA1000JPYN,NASDAQ Asia Basic Matls JPY NTR Index (NQASIA1000JPYN)
NASDAQOMX/NQASIA1000JPYT,NASDAQ Asia Basic Matls JPY TR Index (NQASIA1000JPYT)
NASDAQOMX/NQASIA1000LM,NASDAQ Asia Basic Matls Large Mid Cap Index (NQASIA1000LM)
NASDAQOMX/NQASIA1000LMN,NASDAQ Asia Basic Matls Large Mid Cap NTR Index (NQASIA1000LMN)
NASDAQOMX/NQASIA1000LMT,NASDAQ Asia Basic Matls Large Mid Cap TR Index (NQASIA1000LMT)
NASDAQOMX/NQASIA1000LMAUD,NASDAQ Asia Basic Matls Lg Md Cap AUD Index (NQASIA1000LMAUD)
NASDAQOMX/NQASIA1000LMAUDN,NASDAQ Asia Basic Matls Lg Md Cap AUD NTR Index (NQASIA1000LMAUDN)
NASDAQOMX/NQASIA1000LMAUDT,NASDAQ Asia Basic Matls Lg Md Cap AUD TR Index (NQASIA1000LMAUDT)
NASDAQOMX/NQASIA1000LMCAD,NASDAQ Asia Basic Matls Lg Md Cap CAD Index (NQASIA1000LMCAD)
NASDAQOMX/NQASIA1000LMCADN,NASDAQ Asia Basic Matls Lg Md Cap CAD NTR Index (NQASIA1000LMCADN)
NASDAQOMX/NQASIA1000LMCADT,NASDAQ Asia Basic Matls Lg Md Cap CAD TR Index (NQASIA1000LMCADT)
NASDAQOMX/NQASIA1000LMEUR,NASDAQ Asia Basic Matls Lg Md Cap EUR Index (NQASIA1000LMEUR)
NASDAQOMX/NQASIA1000LMEURN,NASDAQ Asia Basic Matls Lg Md Cap EUR NTR Index (NQASIA1000LMEURN)
NASDAQOMX/NQASIA1000LMEURT,NASDAQ Asia Basic Matls Lg Md Cap EUR TR Index (NQASIA1000LMEURT)
NASDAQOMX/NQASIA1000LMGBP,NASDAQ Asia Basic Matls Lg Md Cap GBP Index (NQASIA1000LMGBP)
NASDAQOMX/NQASIA1000LMGBPT,NASDAQ Asia Basic Matls Lg Md Cap GBP TR Index (NQASIA1000LMGBPT)
NASDAQOMX/NQASIA1000LMGBPN,NASDAQ Asia Basic Matls Lg Md Cap GBP NTR Index (NQASIA1000LMGBPN)
NASDAQOMX/NQASIA1000LMJPY,NASDAQ Asia Basic Matls Lg Md Cap JPY Index (NQASIA1000LMJPY)
NASDAQOMX/NQASIA1000LMJPYN,NASDAQ Asia Basic Matls Lg Md Cap JPY NTR Index (NQASIA1000LMJPYN)
NASDAQOMX/NQASIA1000LMJPYT,NASDAQ Asia Basic Matls Lg Md Cap JPY TR Index (NQASIA1000LMJPYT)
NASDAQOMX/NQASIA1000N,NASDAQ Asia Basic Matls NTR Index (NQASIA1000N)
NASDAQOMX/NQASIA1000T,NASDAQ Asia Basic Matls TR Index (NQASIA1000T)
NASDAQOMX/NQASIACAD,NASDAQ Asia CAD Index (NQASIACAD)
NASDAQOMX/NQASIACADN,NASDAQ Asia CAD NTR Index (NQASIACADN)
NASDAQOMX/NQASIACADT,NASDAQ Asia CAD TR Index (NQASIACADT)
NASDAQOMX/NQASIA3000AUD,NASDAQ Asia Cnsmr Goods AUD Index (NQASIA3000AUD)
NASDAQOMX/NQASIA3000AUDN,NASDAQ Asia Cnsmr Goods AUD NTR Index (NQASIA3000AUDN)
NASDAQOMX/NQASIA3000AUDT,NASDAQ Asia Cnsmr Goods AUD TR Index (NQASIA3000AUDT)
NASDAQOMX/NQASIA3000CAD,NASDAQ Asia Cnsmr Goods CAD Index (NQASIA3000CAD)
NASDAQOMX/NQASIA3000CADN,NASDAQ Asia Cnsmr Goods CAD NTR Index (NQASIA3000CADN)
NASDAQOMX/NQASIA3000CADT,NASDAQ Asia Cnsmr Goods CAD TR Index (NQASIA3000CADT)
NASDAQOMX/NQASIA3000EUR,NASDAQ Asia Cnsmr Goods EUR Index (NQASIA3000EUR)
NASDAQOMX/NQASIA3000EURN,NASDAQ Asia Cnsmr Goods EUR NTR Index (NQASIA3000EURN)
NASDAQOMX/NQASIA3000EURT,NASDAQ Asia Cnsmr Goods EUR TR Index (NQASIA3000EURT)
NASDAQOMX/NQASIA3000GBP,NASDAQ Asia Cnsmr Goods GBP Index (NQASIA3000GBP)
NASDAQOMX/NQASIA3000GBPN,NASDAQ Asia Cnsmr Goods GBP NTR Index (NQASIA3000GBPN)
NASDAQOMX/NQASIA3000GBPT,NASDAQ Asia Cnsmr Goods GBP TR Index (NQASIA3000GBPT)
NASDAQOMX/NQASIA3000,NASDAQ Asia Cnsmr Goods Index (NQASIA3000)
NASDAQOMX/NQASIA3000JPY,NASDAQ Asia Cnsmr Goods JPY Index (NQASIA3000JPY)
NASDAQOMX/NQASIA3000JPYN,NASDAQ Asia Cnsmr Goods JPY NTR Index (NQASIA3000JPYN)
NASDAQOMX/NQASIA3000JPYT,NASDAQ Asia Cnsmr Goods JPY TR Index (NQASIA3000JPYT)
NASDAQOMX/NQASIA3000LMN,NASDAQ Asia Cnsmr Goods Large Mid Cap NTR Index (NQASIA3000LMN)
NASDAQOMX/NQASIA3000LM,NASDAQ Asia Cnsmr Goods Large Mid Cap Index (NQASIA3000LM)
NASDAQOMX/NQASIA3000LMT,NASDAQ Asia Cnsmr Goods Large Mid Cap TR Index (NQASIA3000LMT)
NASDAQOMX/NQASIA3000LMAUD,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD Index (NQASIA3000LMAUD)
NASDAQOMX/NQASIA3000LMAUDN,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD NTR Index (NQASIA3000LMAUDN)
NASDAQOMX/NQASIA3000LMAUDT,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD TR Index (NQASIA3000LMAUDT)
NASDAQOMX/NQASIA3000LMCAD,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD Index (NQASIA3000LMCAD)
NASDAQOMX/NQASIA3000LMCADN,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD NTR Index (NQASIA3000LMCADN)
NASDAQOMX/NQASIA3000LMCADT,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD TR Index (NQASIA3000LMCADT)
NASDAQOMX/NQASIA3000LMEUR,NASDAQ Asia Cnsmr Goods Lg Md Cap EUR Index (NQASIA3000LMEUR)
