Symbol,Name,MarketCap,IPOyear,Sector,Industry,Date
PIH,"1347 Property Insurance Holdings, Inc.",42405025.8,2014,Finance,Property-Casualty Insurers,31/10/17
TURN,180 Degree Capital Corp.,57263674.08,n/a,Finance,Finance/Investors Services,31/10/17
FLWS,"1-800 FLOWERS.COM, Inc.",632569606.5,1999,Consumer Services,Other Specialty Stores,31/10/17
FCCY,1st Constitution Bancorp (NJ),149281550.5,n/a,Finance,Savings Institutions,31/10/17
SRCE,1st Source Corporation,1369946387,n/a,Finance,Major Banks,31/10/17
VNET,"21Vianet Group, Inc.",444107237.5,2011,Technology,"Computer Software: Programming, Data Processing",31/10/17
TWOU,"2U, Inc.",3261807374,2014,Technology,Computer Software: Prepackaged Software,31/10/17
JOBS,"51job, Inc.",1668959080,2004,Technology,Diversified Commercial Services,31/10/17
CAFD,8point3 Energy Partners LP,1211581204,2015,Public Utilities,Electric Utilities: Central,31/10/17
EGHT,8x8 Inc,1207547392,n/a,Public Utilities,Telecommunications Equipment,31/10/17
AVHI,"A V Homes, Inc.",380623928.6,n/a,Capital Goods,Homebuilding,31/10/17
SHLM,"A. Schulman, Inc.",1087248168,1972,Basic Industries,Major Chemicals,31/10/17
AAON,"AAON, Inc.",1830606046,n/a,Capital Goods,Industrial Machinery/Components,31/10/17
ABAX,"ABAXIS, Inc.",1119101724,1992,Capital Goods,Industrial Machinery/Components,31/10/17
ABEO,Abeona Therapeutics Inc.,807257080.7,n/a,Health Care,Major Pharmaceuticals,31/10/17
ABEOW,Abeona Therapeutics Inc.,0,n/a,Health Care,Major Pharmaceuticals,31/10/17
ABIL,Ability Inc.,15968808.04,2014,Finance,Business Services,31/10/17
ABMD,"ABIOMED, Inc.",7985579198,n/a,Health Care,Medical/Dental Instruments,31/10/17
ABLX,Ablynx NV,234429300,2017,n/a,n/a,31/10/17
AXAS,Abraxas Petroleum Corporation,331699802,n/a,Energy,Oil & Gas Production,31/10/17
ACIU,AC Immune SA,663144119.3,2016,Health Care,Major Pharmaceuticals,31/10/17
ACIA,"Acacia Communications, Inc.",1607960844,2016,Technology,Semiconductors,31/10/17
ACTG,Acacia Research Corporation,220098903.2,n/a,Miscellaneous,Multi-Sector Companies,31/10/17
ACHC,"Acadia Healthcare Company, Inc.",2922045278,n/a,Health Care,Medical Specialities,31/10/17
ACAD,ACADIA Pharmaceuticals Inc.,4288906722,2004,Health Care,Major Pharmaceuticals,31/10/17
ACST,"Acasti Pharma, Inc.",19158191.69,n/a,Health Care,Major Pharmaceuticals,31/10/17
AXDX,"Accelerate Diagnostics, Inc.",1064490774,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,31/10/17
ACCP,"Accelerated Pharma, Inc.",0,n/a,n/a,n/a,31/10/17
XLRN,Acceleron Pharma Inc.,1711637137,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
ANCX,Access National Corporation,616264683.3,n/a,Finance,Savings Institutions,31/10/17
ARAY,Accuray Incorporated,406210125.3,2007,Health Care,Medical/Dental Instruments,31/10/17
ACRX,"AcelRx Pharmaceuticals, Inc.",83953875.05,2011,Health Care,Major Pharmaceuticals,31/10/17
ACER,Acer Therapeutics Inc.,12903297.8,n/a,Health Care,Major Pharmaceuticals,31/10/17
ACERW,Acer Therapeutics Inc.,0,n/a,Health Care,Major Pharmaceuticals,31/10/17
ACET,Aceto Corporation,321120341.9,n/a,Health Care,Other Pharmaceuticals,31/10/17
AKAO,"Achaogen, Inc.",575639947.2,2014,Health Care,Major Pharmaceuticals,31/10/17
ACHV,"Achieve Life Sciences, Inc. ",23340850.11,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,31/10/17
ACHN,"Achillion Pharmaceuticals, Inc.",537473107.7,2006,Health Care,Major Pharmaceuticals,31/10/17
ACIW,"ACI Worldwide, Inc.",2907838178,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
ACRS,"Aclaris Therapeutics, Inc.",660124604.7,2015,Health Care,Major Pharmaceuticals,31/10/17
ACNB,ACNB Corporation,199584118.6,n/a,Finance,Major Banks,31/10/17
ACOR,"Acorda Therapeutics, Inc.",1252571268,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
SQZZ,Active Alts Contrarian ETF,0,n/a,n/a,n/a,31/10/17
ATVI,"Activision Blizzard, Inc",48420644100,n/a,Technology,Computer Software: Prepackaged Software,31/10/17
ACTA,Actua Corporation,506760000,n/a,Technology,EDP Services,31/10/17
ACXM,Acxiom Corporation,2002899309,n/a,Technology,EDP Services,31/10/17
ADMS,"Adamas Pharmaceuticals, Inc.",439249622.8,2014,Health Care,Major Pharmaceuticals,31/10/17
ADMP,Adamis Pharmaceuticals Corporation,169297203.6,n/a,Health Care,Major Pharmaceuticals,31/10/17
ADAP,Adaptimmune Therapeutics plc,437893055.2,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
ADUS,Addus HomeCare Corporation,421970656.8,2009,Health Care,Medical/Nursing Services,31/10/17
AEY,"ADDvantage Technologies Group, Inc.",15083501.9,n/a,Consumer Services,Office Equipment/Supplies/Services,31/10/17
IOTS,Adesto Technologies Corporation,166500006.2,2015,Technology,Semiconductors,31/10/17
ADMA,ADMA Biologics Inc,47478193.44,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
ADBE,Adobe Systems Incorporated,87413584673,1986,Technology,Computer Software: Prepackaged Software,31/10/17
ADOM,"ADOMANI, Inc.",328101882.6,2017,Capital Goods,Auto Parts:O.E.M.,31/10/17
ADTN,"ADTRAN, Inc.",1022903565,1994,Public Utilities,Telecommunications Equipment,31/10/17
ADRO,"Aduro Biotech, Inc.",619283326.7,2015,Health Care,Major Pharmaceuticals,31/10/17
AAAP,Advanced Accelerator Applications S.A.,3046431267,2015,Health Care,Major Pharmaceuticals,31/10/17
ADES,"Advanced Emissions Solutions, Inc.",245008732.5,n/a,Basic Industries,Major Chemicals,31/10/17
AEIS,"Advanced Energy Industries, Inc.",3764601643,1995,Capital Goods,Industrial Machinery/Components,31/10/17
AMD,"Advanced Micro Devices, Inc.",11209863822,n/a,Technology,Semiconductors,31/10/17
ADXS,"Advaxis, Inc.",130589355.3,n/a,Health Care,Major Pharmaceuticals,31/10/17
ADXSW,"Advaxis, Inc.",0,n/a,Health Care,Major Pharmaceuticals,31/10/17
ADVM,"Adverum Biotechnologies, Inc.",138517715.2,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AEGN,Aegion Corp,778427180.8,n/a,Basic Industries,Water Supply,31/10/17
AGLE,"Aeglea BioTherapeutics, Inc.",72060898.8,2016,Health Care,Major Pharmaceuticals,31/10/17
AEHR,Aehr Test Systems,76259019.84,1997,Capital Goods,Electrical Products,31/10/17
AMTX,"Aemetis, Inc",15207792.85,n/a,Basic Industries,Major Chemicals,31/10/17
AERI,"Aerie Pharmaceuticals, Inc.",2300361373,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AVAV,"AeroVironment, Inc.",1224914614,2007,Capital Goods,Aerospace,31/10/17
AEZS,AEterna Zentaris Inc.,30908628.8,n/a,Health Care,Major Pharmaceuticals,31/10/17
AEMD,"Aethlon Medical, Inc.",14922720.45,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,31/10/17
GNMX,"Aevi Genomic Medicine, Inc.",102051495.8,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AFMD,Affimed N.V.,86778294.58,2014,Health Care,Major Pharmaceuticals,31/10/17
AGEN,Agenus Inc.,365944159.4,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31/10/17
AGRX,"Agile Therapeutics, Inc.",157662000,2014,Health Care,Major Pharmaceuticals,31/10/17
AGYS,"Agilysys, Inc.",279998194.1,n/a,Technology,EDP Services,31/10/17
AGIO,"Agios Pharmaceuticals, Inc.",3117844629,2013,Health Care,Major Pharmaceuticals,31/10/17
AGNC,AGNC Investment Corp.,7509339592,2008,Consumer Services,Real Estate Investment Trusts,31/10/17
AGNCB,AGNC Investment Corp.,9076992175,n/a,Consumer Services,Real Estate Investment Trusts,31/10/17
AGNCN,AGNC Investment Corp.,0,n/a,Consumer Services,Real Estate Investment Trusts,31/10/17
AGFS,"AgroFresh Solutions, Inc.",295985705.4,2014,Finance,Business Services,31/10/17
AGFSW,"AgroFresh Solutions, Inc.",0,2014,Finance,Business Services,31/10/17
ALRN,"Aileron Therapeutics, Inc.",181875125.8,2017,Health Care,Major Pharmaceuticals,31/10/17
AIMT,"Aimmune Therapeutics, Inc.",1509986906,2015,Health Care,Major Pharmaceuticals,31/10/17
AIRT,"Air T, Inc.",38915130.45,n/a,Transportation,Air Freight/Delivery Services,31/10/17
ATSG,"Air Transport Services Group, Inc",1422502075,n/a,Transportation,Air Freight/Delivery Services,31/10/17
AIRG,"Airgain, Inc.",80648997,2016,Technology,Radio And Television Broadcasting And Communications Equipment,31/10/17
AMCN,AirMedia Group Inc,98939270.31,2007,Technology,Advertising,31/10/17
AKAM,"Akamai Technologies, Inc.",9010000000,1999,Miscellaneous,Business Services,31/10/17
AKTX,Akari Therapeutics Plc,50549046.27,n/a,Health Care,Major Pharmaceuticals,31/10/17
AKCA,"Akcea Therapeutics, Inc.",1134534774,2017,Health Care,Major Pharmaceuticals,31/10/17
AKBA,"Akebia Therapeutics, Inc.",821377893.2,2014,Health Care,Major Pharmaceuticals,31/10/17
AKER,Akers Biosciences Inc,7388033.35,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,31/10/17
AKRX,"Akorn, Inc.",4062288320,n/a,Health Care,Major Pharmaceuticals,31/10/17
